name,price,url
Naczepa CMT NSP-24 GD4771X 2008 r. kol. pomarańczowy, 7680000 zł ,http://www.licytacje.komornik.pl/Notice/Details/399228
Wózek Widłowy Clark CGP30P365L, 1155000 zł ,http://www.licytacje.komornik.pl/Notice/Details/399228
MAN TGS 18.480 2008 r. 4x2 czerwony  nr rej. GD259AU, 6517500 zł ,http://www.licytacje.komornik.pl/Notice/Details/399228
Naczepa Schmitz SKI247.2 2010 r. nr rej. GD3094X, 5205000 zł ,http://www.licytacje.komornik.pl/Notice/Details/399228
MAN TGA 18.440 nr rej. GD406EC 2008 r. uszkodzony kol. niebieski, 3360000 zł ,http://www.licytacje.komornik.pl/Notice/Details/399228
Mercedes AXOR 1840 nr rej. GD841GF 2008 r. kol. pomarańczowy, 4957500 zł ,http://www.licytacje.komornik.pl/Notice/Details/399228
RENAULT KANGOO, 487500 zł ,http://www.licytacje.komornik.pl/Notice/Details/399867
Samochód osobowy Volkswagen Bora kombi GD393MU WVWZZZ1JZ2W134471 rok 2001, 525000 zł ,http://www.licytacje.komornik.pl/Notice/Details/396125
SAMOCHÓD OSOBOWY OPEL VECTRA ROK PROD. 2000, 75000 zł ,http://www.licytacje.komornik.pl/Notice/Details/396139
SAMOCHÓD OSOBOWY PEUGEOT 807 ROK PROD. 201 1, 2250000 zł ,http://www.licytacje.komornik.pl/Notice/Details/397011
SAMOCHÓD CIĘŻAROWY CITROEN BERLINGO ROK PROD. 2000, 300000 zł ,http://www.licytacje.komornik.pl/Notice/Details/397011
Wymiennik ciepłej wody Pomex 06 m3, 25000 zł ,http://www.licytacje.komornik.pl/Notice/Details/399866
drukarka HP Color Laser Jet cp2025, 12500 zł ,http://www.licytacje.komornik.pl/Notice/Details/399866
kserokopiarka Sharp AR-5316, 25000 zł ,http://www.licytacje.komornik.pl/Notice/Details/399866
drukarka HP Laser Jet p2055dm, 10000 zł ,http://www.licytacje.komornik.pl/Notice/Details/399866
Monitor Hyundai V2226W, 2500 zł ,http://www.licytacje.komornik.pl/Notice/Details/399866
Monitor Belinea 101735, 2500 zł ,http://www.licytacje.komornik.pl/Notice/Details/399866
Skaner Canon ScanLider 90, 2500 zł ,http://www.licytacje.komornik.pl/Notice/Details/399866
Szafa metalowa dwudrzwiowa 3 półki zamykana na klucz, wymiary ok. 1,20x1,00, 12500 zł ,http://www.licytacje.komornik.pl/Notice/Details/399866
Rzutnik Sharp XGE210X wraz z torbąpilotem oraz kablem, 15000 zł ,http://www.licytacje.komornik.pl/Notice/Details/399866
name,price,url
name,price,url
name,price,url
name,price,url
name,price,url
name,price,url
nieruchomość lokalowa 3456 m kw, 11511075 zł ,http://www.licytacje.komornik.pl/Notice/Details/395441
3231m2: pokój dzienny, kuchnia, łazienka z WC i przedpokój, 13933500 zł ,http://www.licytacje.komornik.pl/Notice/Details/392499
lokal mieszkalny, 13477500 zł ,http://www.licytacje.komornik.pl/Notice/Details/396422
lokal mieszkalny o pow. 364 m2, III piętro, ul. Kolorowa 4C/12, 10200000 zł ,http://www.licytacje.komornik.pl/Notice/Details/394720
lokal mieszkalny o pow. 4054 m2, III piętro, ul. Ametystowa 6/7, Gdańsk, 13650000 zł ,http://www.licytacje.komornik.pl/Notice/Details/397085
MIESZKANIE, 30300000 zł ,http://www.licytacje.komornik.pl/Notice/Details/398473
lokal mieszkalny, 17850000 zł ,http://www.licytacje.komornik.pl/Notice/Details/399251
name,price,url
nieruchomość lokalowa 34;56 m kw, 115110;75 zł ,http://www.licytacje.komornik.pl/Notice/Details/395441
32;31m2: pokój dzienny, kuchnia, łazienka z WC i przedpokój, 139335;00 zł ,http://www.licytacje.komornik.pl/Notice/Details/392499
lokal mieszkalny, 134775;00 zł ,http://www.licytacje.komornik.pl/Notice/Details/396422
lokal mieszkalny o pow. 36;4 m2, III piętro, ul. Kolorowa 4C/12, 102000;00 zł ,http://www.licytacje.komornik.pl/Notice/Details/394720
lokal mieszkalny o pow. 40;54 m2, III piętro, ul. Ametystowa 6/7, Gdańsk, 136500;00 zł ,http://www.licytacje.komornik.pl/Notice/Details/397085
MIESZKANIE, 303000;00 zł ,http://www.licytacje.komornik.pl/Notice/Details/398473
lokal mieszkalny, 178500;00 zł ,http://www.licytacje.komornik.pl/Notice/Details/399251
